type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
LOCAL,AL,,SHEFFIELD,1.8,1.8,securus,2025-09-26
LOCAL,AL,BARBOUR,EUFAULA,1.8,1.8,securus,2025-09-26
LOCAL,AL,COLBERT,TUSCUMBIA,1.8,1.8,securus,2025-09-26
LOCAL,AR,,LAKE VILLAGE,3.15,3.15,securus,2025-09-26
LOCAL,AZ,,KAYENTA,3.15,3.15,paytel,2025-09-26
LOCAL,AZ,,TUBA,3.15,3.15,paytel,2025-09-26
LOCAL,AZ,APACHE,CHINLE,3.15,3.15,paytel,2025-09-26
LOCAL,AZ,APACHE,WINDOW ROCK,3.15,3.15,paytel,2025-09-26
LOCAL,AZ,PINAL,AK CHIN,1.8,1.8,securus,2025-09-26
LOCAL,CA,,HEMET,0.75,0.75,securus,2025-09-26
LOCAL,CA,,LOMPOC,1.05,1.05,securus,2025-09-26
LOCAL,CA,KERN,TAFT,1.05,1.05,securus,2025-09-26
LOCAL,CO,ARAPAHOE,AURORA,3.15,3.15,securus,2025-09-26
LOCAL,CO,BROOMFIELD,BROOMFIELD,2.7,2.7,securus,2025-09-26
LOCAL,FL,COLUMBIA,LAKECITY,1.92,1.92,amtel,2025-09-26
LOCAL,FL,GLADES,MOORE HAVEN,1.92,3.15,amtel,2025-09-26
LOCAL,GA,,EAST POINT,1.8,1.8,viapath,2025-09-26
LOCAL,GA,,KENNESAW,2.85,3.15,amtel,2025-09-26
LOCAL,GA,,MANCHESTER,2.85,3.15,amtel,2025-09-26
LOCAL,GA,COBB,ACWORTH,2.7,3.15,viapath,2025-09-26
LOCAL,GA,COBB,SMYRNA,1.8,1.8,securus,2025-09-26
LOCAL,IL,,ALTON,3.15,3.15,securus,2025-09-26
LOCAL,IL,,COLLINSVILLE,1.8,1.8,securus,2025-09-26
LOCAL,IL,,GRANITE,1.8,1.8,securus,2025-09-26
LOCAL,IN,LAKE,HAMMOND,2.55,3.15,amtel,2025-09-26
LOCAL,LA,,BERWICK,1.8,1.8,securus,2025-09-26
LOCAL,LA,,KENNER,1.8,1.8,securus,2025-09-26
LOCAL,LA,,SLIDELL,3.15,3.15,securus,2025-09-26
LOCAL,LA,CADDO,SHREVEPORT,1.35,1.35,securus,2025-09-26
LOCAL,MI,,FLINT,3.15,3.15,securus,2025-09-26
LOCAL,MI,,GROSSE POINTE PARK,0.0,0.0,securus,2025-09-26
LOCAL,MI,,NILES,1.8,1.8,securus,2025-09-26
LOCAL,MI,INGHAM,LANSING,1.8,1.8,securus,2025-09-26
LOCAL,MN,,BROOKLYN PARK,3.15,3.15,securus,2025-09-26
LOCAL,MN,ST LOUIS,DULUTH,3.75,3.15,reliance,2025-09-26
LOCAL,MN,ST LOUIS,HIBBING,3.75,3.15,reliance,2025-09-26
LOCAL,MN,ST LOUIS,VIRGINIA,3.75,3.15,reliance,2025-09-26
LOCAL,MO,,BERKELEY,1.8,1.8,securus,2025-09-26
LOCAL,MO,,BLUE SPRINGS,1.8,1.8,securus,2025-09-26
LOCAL,MO,,LEE'S SUMMIT,1.8,1.8,securus,2025-09-26
LOCAL,MO,,SCOTT CITY,1.8,1.8,securus,2025-09-26
LOCAL,MO,,ST PETERS,1.8,1.8,securus,2025-09-26
LOCAL,MO,ST CHARLES,ST CHARLES,1.8,1.8,paytel,2025-09-26
LOCAL,NM,,HOBBS,1.8,1.8,securus,2025-09-26
LOCAL,NM,MCKINLEY,CROWNPOINT,2.25,3.15,paytel,2025-09-26
LOCAL,NM,SAN JUAN,SHIPROCK,2.25,3.15,paytel,2025-09-26
LOCAL,NV,CLARK,HENDERSON,3.15,3.15,securus,2025-09-26
LOCAL,NV,CLARK,NORTH LAS VEGAS,1.35,1.35,securus,2025-09-26
LOCAL,NY,,NEW YORK CITY,0.0,0.0,securus,2025-09-26
LOCAL,OH,,BEDFORD,3.15,3.15,securus,2025-09-26
LOCAL,OH,,LAKEWOOD,3.15,3.15,viapath,2025-09-26
LOCAL,OH,,MIDDLEPORT,1.8,1.8,securus,2025-09-26
LOCAL,OH,,STRONGSVILLE,3.15,3.15,securus,2025-09-26
LOCAL,OH,ASHTABULA,ASHTABULA,1.8,1.8,securus,2025-09-26
LOCAL,OH,CUYAHOGA,BEDFORD HEIGHTS,3.15,3.15,securus,2025-09-26
LOCAL,OH,CUYAHOGA,MAPLE HEIGHTS,1.8,1.8,securus,2025-09-26
LOCAL,OH,CUYAHOGA,NORTH ROYALTON,1.8,1.8,securus,2025-09-26
LOCAL,OH,CUYAHOGA,PARMA,1.8,1.8,securus,2025-09-26
LOCAL,OH,MONTGOMERY,KETTERING,1.8,1.8,paytel,2025-09-26
