type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
LOCAL,AL,,FAIRHOPE,$3.00,$3.00,viapath, 10-03-23
LOCAL,AL,,HOOVER,$3.39,$4.33,ics, 10-03-23
LOCAL,AL,,SHEFFIELD,$3.15,$3.15,securus, 10-03-23
LOCAL,AL,BARBOUR,EUFAULA,$3.15,$3.15,securus, 10-03-23
LOCAL,AL,COLBERT,TUSCUMBIA,$3.15,$3.15,securus, 10-03-23
LOCAL,AL,JEFFERSON,BIRMINGHAM,$3.75,$3.15,viapath, 10-03-23
LOCAL,AL,JEFFERSON,TRUSSVILLE,$3.15,$3.15,securus, 10-03-23
LOCAL,AL,MONTGOMERY,MONTGOMERY,$3.15,$3.15,securus, 10-03-23
LOCAL,AR,,LAKE VILLAGE,$3.15,$3.15,securus, 10-03-23
LOCAL,AZ,,APACHE JUNCTION,$3.15,$3.15,viapath, 10-03-23
LOCAL,AZ,,GLENDALE,$3.15,$3.15,viapath, 10-03-23
LOCAL,AZ,MARICOPA,AVONDALE,$3.15,$3.15,viapath, 10-03-23
LOCAL,CA,,HEMET,$1.05,$1.05,securus, 10-03-23
LOCAL,CA,,LOMPOC,$1.05,$1.05,securus, 10-03-23
LOCAL,CO,ARAPAHOE,AURORA,$3.15,$3.15,securus, 10-03-23
LOCAL,CO,BROOMFIELD,BROOMFIELD,$2.70,$2.70,securus, 10-03-23
LOCAL,FL,DUVAL,JACKSONVILLE,$4.20,$2.40,viapath, 10-03-23
LOCAL,GA,,EAST POINT,$3.15,$3.15,viapath, 10-03-23
LOCAL,GA,COBB,ACWORTH,$2.70,$3.15,viapath, 10-03-23
LOCAL,GA,COBB,SMYRNA,$2.70,$3.15,securus, 10-03-23
LOCAL,GA,FULTON,ATLANTA,$2.70,$2.70,ics, 10-03-23
LOCAL,GA,FULTON,UNION CITY,$2.40,$2.40,securus, 10-03-23
LOCAL,IL,,ALTON,$3.15,$3.15,securus, 10-03-23
LOCAL,IL,,COLLINSVILLE,$3.15,$3.15,securus, 10-03-23
LOCAL,IL,,GRANITE,$3.15,$3.15,securus, 10-03-23
LOCAL,IN,,ELKHART,$3.15,$3.15,securus, 10-03-23
LOCAL,KS,GEARY,JUNCTION CITY,$1.05,$1.05,ics, 10-03-23
LOCAL,KS,MITCHELL,BELOIT,$1.05,$1.05,ics, 10-03-23
LOCAL,KY,JEFFERSON,LOUISVILLE,$1.35,$1.35,securus, 10-03-23
LOCAL,LA,,BERWICK,$3.15,$3.15,securus, 10-03-23
LOCAL,LA,,KENNER,$3.15,$3.15,securus, 10-03-23
LOCAL,LA,,SLIDELL,$3.15,$3.15,securus, 10-03-23
LOCAL,LA,CADDO,SHREVEPORT,$3.15,$3.15,securus, 10-03-23
LOCAL,MI,,FLINT,$3.15,$3.15,securus, 10-03-23
LOCAL,MI,,GROSSE POINTE PARK,$0.00,$0.00,securus, 10-03-23
LOCAL,MI,,NILES,$3.15,$3.15,securus, 10-03-23
LOCAL,MI,,OAK PARK,$3.15,$3.15,viapath, 10-03-23
LOCAL,MI,INGHAM,LANSING,$3.15,$3.15,securus, 10-03-23
LOCAL,MN,,BROOKLYN PARK,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,ARNOLD,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,AURORA,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,BERKELEY,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,BLUE SPRINGS,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,FESTUS,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,LEE'S SUMMIT,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,MONETT,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,SCOTT CITY,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,SIKESTON,$3.15,$3.15,securus, 10-03-23
LOCAL,MO,,ST PETERS,$3.15,$3.15,securus, 10-03-23
LOCAL,MT,,ANACONDA,$3.15,$3.15,securus, 10-03-23
LOCAL,NM,,HOBBS,$2.25,$2.25,securus, 10-03-23
LOCAL,NV,CARSON CITY (CITY),CARSON CITY,$3.15,$3.15,ics, 10-03-23
LOCAL,NV,CLARK,HENDERSON,$3.15,$3.15,securus, 10-03-23
