type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
LOCAL,AL,,FAIRHOPE,$3.00,$3.00,viapath,2024-12-08
LOCAL,AL,,HOOVER,$3.40,$3.40,ics,2024-12-08
LOCAL,AL,,SHEFFIELD,$3.15,$3.15,securus,2024-12-08
LOCAL,AL,BARBOUR,EUFAULA,$3.15,$3.15,securus,2024-12-08
LOCAL,AL,COLBERT,TUSCUMBIA,$3.15,$3.15,securus,2024-12-08
LOCAL,AL,JEFFERSON,BIRMINGHAM,$3.75,$3.15,viapath,2024-12-08
LOCAL,AR,,LAKE VILLAGE,$3.15,$3.15,securus,2024-12-08
LOCAL,AZ,,APACHE JUNCTION,$3.15,$3.15,viapath,2024-12-08
LOCAL,AZ,,GLENDALE,$3.15,$3.15,viapath,2024-12-08
LOCAL,AZ,,KAYENTA,$3.15,$3.15,paytel,2024-12-08
LOCAL,AZ,,TUBA,$3.15,$3.15,paytel,2024-12-08
LOCAL,AZ,APACHE,CHINLE,$3.15,$3.15,paytel,2024-12-08
LOCAL,AZ,APACHE,WINDOW ROCK,$3.15,$3.15,paytel,2024-12-08
LOCAL,AZ,MARICOPA,AVONDALE,$3.15,$3.15,viapath,2024-12-08
LOCAL,AZ,PINAL,AK CHIN,$3.15,$3.15,securus,2024-12-08
LOCAL,CA,,HEMET,$1.05,$1.05,securus,2024-12-08
LOCAL,CA,,LOMPOC,$1.05,$1.05,securus,2024-12-08
LOCAL,CA,KERN,TAFT,$1.05,$1.05,securus,2024-12-08
LOCAL,CO,ARAPAHOE,AURORA,$3.15,$3.15,securus,2024-12-08
LOCAL,CO,BROOMFIELD,BROOMFIELD,$2.70,$2.70,securus,2024-12-08
LOCAL,FL,COLUMBIA,LAKE CITY,$2.03,$2.03,viapath,2024-12-08
LOCAL,FL,COLUMBIA,LAKECITY,$1.92,$1.92,amtel,2024-12-08
LOCAL,FL,DUVAL,JACKSONVILLE,$4.20,$2.40,viapath,2024-12-08
LOCAL,FL,GLADES,MOORE HAVEN,$1.92,$3.15,amtel,2024-12-08
LOCAL,GA,,EAST POINT,$3.15,$3.15,viapath,2024-12-08
LOCAL,GA,,KENNESAW,$2.85,$3.15,amtel,2024-12-08
LOCAL,GA,,MANCHESTER,$2.85,$3.15,amtel,2024-12-08
LOCAL,GA,COBB,ACWORTH,$2.70,$3.15,viapath,2024-12-08
LOCAL,GA,COBB,SMYRNA,$2.70,$3.15,securus,2024-12-08
LOCAL,GA,FULTON,ATLANTA,$2.70,$2.70,ics,2024-12-08
LOCAL,GA,FULTON,UNION CITY,$2.40,$2.40,ics,2024-12-08
LOCAL,IL,,ALTON,$3.15,$3.15,securus,2024-12-08
LOCAL,IL,,COLLINSVILLE,$3.15,$3.15,securus,2024-12-08
LOCAL,IL,,GRANITE,$3.15,$3.15,securus,2024-12-08
LOCAL,IN,,ELKHART,$3.15,$3.15,securus,2024-12-08
LOCAL,IN,LAKE,HAMMOND,$2.55,$3.15,amtel,2024-12-08
LOCAL,KS,GEARY,JUNCTION CITY,$1.05,$1.05,ics,2024-12-08
LOCAL,KS,MITCHELL,BELOIT,$1.05,$1.05,ics,2024-12-08
LOCAL,LA,,BERWICK,$3.15,$3.15,securus,2024-12-08
LOCAL,LA,,KENNER,$3.15,$3.15,securus,2024-12-08
LOCAL,LA,,SLIDELL,$3.15,$3.15,securus,2024-12-08
LOCAL,LA,CADDO,SHREVEPORT,$3.15,$3.15,securus,2024-12-08
LOCAL,MI,,FLINT,$3.15,$3.15,securus,2024-12-08
LOCAL,MI,,GROSSE POINTE PARK,$0.00,$0.00,securus,2024-12-08
LOCAL,MI,,NILES,$3.15,$3.15,securus,2024-12-08
LOCAL,MI,,OAK PARK,$3.15,$3.15,viapath,2024-12-08
LOCAL,MI,INGHAM,LANSING,$3.15,$3.15,securus,2024-12-08
LOCAL,MN,,BROOKLYN PARK,$3.15,$3.15,securus,2024-12-08
LOCAL,MN,ST LOUIS,DULUTH,$3.75,$3.15,reliance,2024-12-08
LOCAL,MN,ST LOUIS,HIBBING,$3.75,$3.15,reliance,2024-12-08
LOCAL,MN,ST LOUIS,VIRGINIA,$3.75,$3.15,reliance,2024-12-08
LOCAL,MO,,BERKELEY,$3.15,$3.15,securus,2024-12-08
LOCAL,MO,,BLUE SPRINGS,$3.15,$3.15,securus,2024-12-08
LOCAL,MO,,LEE'S SUMMIT,$3.15,$3.15,securus,2024-12-08
LOCAL,MO,,SCOTT CITY,$3.15,$3.15,securus,2024-12-08
LOCAL,MO,,ST PETERS,$3.15,$3.15,securus,2024-12-08
LOCAL,MO,ST CHARLES,ST CHARLES,$3.15,$3.15,paytel,2024-12-08
LOCAL,NM,,HOBBS,$2.25,$2.25,securus,2024-12-08
LOCAL,NM,MCKINLEY,CROWNPOINT,$2.25,$3.15,paytel,2024-12-08
LOCAL,NM,SAN JUAN,SHIPROCK,$2.25,$3.15,paytel,2024-12-08
LOCAL,NV,CARSON CITY (CITY),CARSON CITY,$3.15,$3.15,ics,2024-12-08
LOCAL,NV,CLARK,HENDERSON,$3.15,$3.15,securus,2024-12-08
LOCAL,NV,CLARK,NORTH LAS VEGAS,$3.15,$3.15,securus,2024-12-08
LOCAL,NY,,NEW YORK CITY,$0.00,$0.00,securus,2024-12-08
LOCAL,OH,,BEDFORD,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,,LAKEWOOD,$3.15,$3.15,viapath,2024-12-08
LOCAL,OH,,MIDDLEPORT,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,,STRONGSVILLE,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,ASHTABULA,ASHTABULA,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,CUYAHOGA,BEDFORD HEIGHTS,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,CUYAHOGA,MAPLE HEIGHTS,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,CUYAHOGA,NORTH ROYALTON,$3.15,$3.15,securus,2024-12-08
LOCAL,OH,CUYAHOGA,PARMA,$2.10,$2.10,securus,2024-12-08
LOCAL,OH,MONTGOMERY,KETTERING,$3.15,$3.15,paytel,2024-12-08
LOCAL,OH,MUSKINGUM,ZANESVILLE,$3.15,$3.15,viapath,2024-12-08
LOCAL,OK,,DELAWARE,$3.15,$3.15,securus,2024-12-08
LOCAL,OR,JEFFERSON,WARM SPRINGS,$3.00,$3.15,viapath,2024-12-08
LOCAL,PA,PHILADELPHIA,PHILADELPHIA,$1.35,$1.35,viapath,2024-12-08
LOCAL,SC,,ROCK HILL,$3.15,$3.15,securus,2024-12-08
LOCAL,SC,ANDERSON,ANDERSON,$3.15,$3.15,securus,2024-12-08
LOCAL,SD,TRIPP,WINNER,$3.75,$3.15,reliance,2024-12-08
LOCAL,TN,,JELLICO,$3.36,$3.15,amtel,2024-12-08
