"type","state","county","city","in_state_rate","out_state_rate","provider_company","date_created"
"LOCAL","VA","","MARTINSVILLE","$3.15","$3.15","paytel","2025-08-01"
"LOCAL","VA","","RICHMOND","$1.35","$1.35","viapath","2025-08-01"
"LOCAL","VA","","ROANOKE","$1.95","$1.95","viapath","2025-08-01"
"LOCAL","VA","","SALEM","$2.25","$2.25","viapath","2025-08-01"
"LOCAL","VA","BRISTOL","BRISTOL","$3.15","$3.15","securus","2025-08-01"
"LOCAL","VA","CHESAPEAKE (CITY)","CHESAPEAKE","$3.15","$3.15","securus","2025-08-01"
"LOCAL","VA","DANVILLE","DANVILLE","$3.15","$3.15","ics","2025-08-01"
"LOCAL","VA","HAMPTON","HAMPTON","$1.95","$1.95","viapath","2025-08-01"
"LOCAL","VA","NEWPORT NEWS","NEWPORT NEWS","$3.00","$3.00","securus","2025-08-01"
"LOCAL","VA","NORFOLK","NORFOLK","$2.33","$2.33","viapath","2025-08-01"
"LOCAL","VA","VIRGINIA BEACH","VIRGINIA BEACH","$1.65","$1.65","viapath","2025-08-01"
"LOCAL","WA","","ABERDEEN","$3.15","$3.15","securus","2025-08-01"
"LOCAL","WA","","ISSAQUAH","$3.15","$3.15","viapath","2025-08-01"
"LOCAL","WA","KING","KENT","$3.15","$3.15","securus","2025-08-01"
"LOCAL","WA","SNOHOMISH","LYNNWOOD","$3.00","$3.00","securus","2025-08-01"
"LOCAL","WA","SNOHOMISH","MARYSVILLE","$3.15","$3.15","securus","2025-08-01"
