type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created,fips_id,geo_lat,geo_long
LOCAL,OH,CUYAHOGA,MAPLE HEIGHTS,$1.80,$1.80,securus,2026-01-14,,41.4154413,-81.5655597
LOCAL,OH,CUYAHOGA,NORTH ROYALTON,$3.15,$3.15,securus,2026-01-14,,41.3136644,-81.7245739
LOCAL,OH,CUYAHOGA,PARMA,$1.80,$1.80,securus,2026-01-14,,41.3822398,-81.7355692
LOCAL,OH,MONTGOMERY,KETTERING,$1.80,$1.80,paytel,2026-01-14,,39.6895036,-84.1688274
LOCAL,OH,MUSKINGUM,ZANESVILLE,$3.15,$3.15,viapath,2026-01-14,,39.9401426,-82.0050190
LOCAL,OR,JEFFERSON,WARM SPRINGS,$3.00,$3.15,viapath,2026-01-14,,44.7628855,-121.2595919
LOCAL,PA,PHILADELPHIA,PHILADELPHIA,$0.90,$0.90,viapath,2026-01-14,,39.9527237,-75.1635262
LOCAL,SC,ANDERSON,ANDERSON,$1.35,$1.35,securus,2026-01-14,,34.5258335,-82.6529620
LOCAL,SD,TRIPP,WINNER,$3.75,$3.15,reliance,2026-01-14,,43.3766670,-99.8590070
LOCAL,TX,,DESOTO,$3.15,$3.15,securus,2026-01-14,,32.5897831,-96.8570183
LOCAL,TX,,KELLER,$3.15,$3.15,viapath,2026-01-14,,32.9299655,-97.2271249
LOCAL,TX,,MESQUITE,$3.15,$3.15,securus,2026-01-14,,32.7666103,-96.5994720
LOCAL,TX,DALLAS,GARLAND,$3.15,$3.15,securus,2026-01-14,,32.9126240,-96.6388833
LOCAL,TX,DALLAS,GRAND PRAIRIE,$1.80,$1.80,securus,2026-01-14,,32.7459645,-96.9977846
LOCAL,TX,DALLAS,IRVING,$3.15,$3.15,securus,2026-01-14,,32.8295183,-96.9442177
LOCAL,TX,HARRIS,PASADENA,$1.80,$1.80,viapath,2026-01-14,,29.6910753,-95.2092076
LOCAL,TX,TARRANT,ARLINGTON,$3.15,$3.15,viapath,2026-01-14,,32.7355816,-97.1071186
LOCAL,UT,SALT LAKE,SALT LAKE,$1.50,$1.50,viapath,2026-01-14,,40.6632297,-111.9103124
LOCAL,VA,,MARTINSVILLE,$3.15,$3.15,paytel,2026-01-14,,36.6915262,-79.8725386
LOCAL,VA,,RICHMOND,$1.35,$1.35,viapath,2026-01-14,,37.5385087,-77.4342800
LOCAL,VA,,ROANOKE,$1.95,$1.95,viapath,2026-01-14,,37.2709730,-79.9414313
LOCAL,VA,,SALEM,$2.25,$2.25,viapath,2026-01-14,,37.2931980,-80.0556773
LOCAL,VA,BRISTOL,BRISTOL,$3.15,$3.15,securus,2026-01-14,,36.5959685,-82.1885009
LOCAL,VA,CHESAPEAKE (CITY),CHESAPEAKE,$3.15,$3.15,securus,2026-01-14,,36.7168315,-76.2494453
LOCAL,VA,DANVILLE,DANVILLE,$3.15,$3.15,ics,2026-01-14,,36.5879877,-79.3916713
LOCAL,VA,HAMPTON,HAMPTON,$1.35,$1.35,viapath,2026-01-14,,37.0264414,-76.3442846
LOCAL,VA,NEWPORT NEWS,NEWPORT NEWS,$1.05,$1.05,securus,2026-01-14,,36.9775016,-76.4297700
LOCAL,VA,NORFOLK,NORFOLK,$2.33,$2.33,viapath,2026-01-14,,36.8493695,-76.2899539
LOCAL,VA,VIRGINIA BEACH,VIRGINIA BEACH,$0.90,$0.90,viapath,2026-01-14,,36.8496579,-75.9760751
LOCAL,WA,,ABERDEEN,$1.80,$1.80,securus,2026-01-14,,46.9753710,-123.8157220
LOCAL,WA,,ISSAQUAH,$3.15,$3.15,viapath,2026-01-14,,47.5348778,-122.0432970
LOCAL,WA,KING,KENT,$3.15,$3.15,securus,2026-01-14,,47.3826903,-122.2270272
LOCAL,WA,SNOHOMISH,LYNNWOOD,$3.00,$3.00,securus,2026-01-14,,47.8278656,-122.3053932
LOCAL,WA,SNOHOMISH,MARYSVILLE,$3.15,$3.15,securus,2026-01-14,,48.0517429,-122.1768209
