type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
LOCAL,AL,,FAIRHOPE,$3.00,$3.00,viapath, 05-14-24
LOCAL,AL,,HOOVER,$3.39,$3.39,ics, 05-14-24
LOCAL,AL,,SHEFFIELD,$3.15,$3.15,securus, 05-14-24
LOCAL,AL,BARBOUR,EUFAULA,$3.15,$3.15,securus, 05-14-24
LOCAL,AL,COLBERT,TUSCUMBIA,$3.15,$3.15,securus, 05-14-24
LOCAL,AL,JEFFERSON,BIRMINGHAM,$3.75,$3.15,viapath, 05-14-24
LOCAL,AL,MONTGOMERY,MONTGOMERY,$3.15,$3.15,securus, 05-14-24
LOCAL,AR,,LAKE VILLAGE,$3.15,$3.15,securus, 05-14-24
LOCAL,AZ,,APACHE JUNCTION,$3.15,$3.15,viapath, 05-14-24
LOCAL,AZ,,GLENDALE,$3.15,$3.15,viapath, 05-14-24
LOCAL,AZ,,KAYENTA,$3.15,$3.15,paytel, 05-14-24
LOCAL,AZ,,TUBA,$3.15,$3.15,paytel, 05-14-24
LOCAL,AZ,APACHE,CHINLE,$3.15,$3.15,paytel, 05-14-24
LOCAL,AZ,APACHE,WINDOW ROCK,$3.15,$3.15,paytel, 05-14-24
LOCAL,AZ,MARICOPA,AVONDALE,$3.15,$3.15,viapath, 05-14-24
LOCAL,AZ,PINAL,AK CHIN,$3.15,$3.15,securus, 05-14-24
LOCAL,CA,,HEMET,$1.05,$1.05,securus, 05-14-24
LOCAL,CA,,LOMPOC,$1.05,$1.05,securus, 05-14-24
LOCAL,CA,KERN,TAFT,$1.05,$1.05,securus, 05-14-24
LOCAL,CA,MONTEREY,MONTEREY,$1.05,$1.05,viapath, 05-14-24
LOCAL,CO,ARAPAHOE,AURORA,$3.15,$3.15,securus, 05-14-24
LOCAL,CO,BROOMFIELD,BROOMFIELD,$2.70,$2.70,securus, 05-14-24
LOCAL,FL,COLUMBIA,LAKECITY,$1.92,$1.92,amtel, 05-14-24
LOCAL,FL,COLuMBIA,LAKE CITY,$2.03,$2.03,viapath, 05-14-24
LOCAL,FL,DUVAL,JACKSONVILLE,$4.20,$2.40,viapath, 05-14-24
LOCAL,FL,GLADES,MOORE HAVEN,$1.92,$3.15,amtel, 05-14-24
LOCAL,GA,,EAST POINT,$3.15,$3.15,viapath, 05-14-24
LOCAL,GA,,KENNESAW,$2.85,$3.15,amtel, 05-14-24
LOCAL,GA,,MANCHESTER,$2.85,$3.15,amtel, 05-14-24
LOCAL,GA,COBB,ACWORTH,$2.70,$3.15,viapath, 05-14-24
LOCAL,GA,COBB,SMYRNA,$2.70,$3.15,securus, 05-14-24
LOCAL,GA,FULTON,ATLANTA,$2.70,$2.70,ics, 05-14-24
LOCAL,GA,FULTON,UNION CITY,$1.80,$1.80,ics, 05-14-24
LOCAL,IL,,ALTON,$3.15,$3.15,securus, 05-14-24
LOCAL,IL,,COLLINSVILLE,$3.15,$3.15,securus, 05-14-24
LOCAL,IL,,GRANITE,$3.15,$3.15,securus, 05-14-24
LOCAL,IN,,ELKHART,$3.15,$3.15,securus, 05-14-24
LOCAL,IN,LAKE,HAMMOND,$2.55,$3.15,amtel, 05-14-24
LOCAL,KS,GEARY,JUNCTION CITY,$1.05,$1.05,ics, 05-14-24
LOCAL,KS,MITCHELL,BELOIT,$1.05,$1.05,ics, 05-14-24
LOCAL,KY,JEFFERSON,LOUISVILLE,$1.35,$1.35,securus, 05-14-24
LOCAL,LA,,BERWICK,$3.15,$3.15,securus, 05-14-24
LOCAL,LA,,KENNER,$3.15,$3.15,securus, 05-14-24
LOCAL,LA,,SLIDELL,$3.15,$3.15,securus, 05-14-24
LOCAL,LA,CADDO,SHREVEPORT,$3.15,$3.15,securus, 05-14-24
LOCAL,MI,,FLINT,$3.15,$3.15,securus, 05-14-24
LOCAL,MI,,GROSSE POINTE PARK,$0.00,$0.00,securus, 05-14-24
LOCAL,MI,,NILES,$3.15,$3.15,securus, 05-14-24
LOCAL,MI,,OAK PARK,$3.15,$3.15,viapath, 05-14-24
LOCAL,MI,INGHAM,LANSING,$3.15,$3.15,securus, 05-14-24
LOCAL,MN,,BROOKLYN PARK,$3.15,$3.15,securus, 05-14-24
